Date,Price,Change,Name
1993-03-01,660,-,bananas
1993-04-01,560,-15.15%,bananas
1993-05-01,460,-17.86%,bananas
1993-06-01,390,-15.22%,bananas
1993-07-01,350,-10.26%,bananas
1993-08-01,320,-8.57%,bananas
1993-09-01,350,9.38%,bananas
1993-10-01,330,-5.71%,bananas
1993-11-01,370,12.12%,bananas
1993-12-01,410,10.81%,bananas
1994-01-01,530,29.27%,bananas
1994-02-01,670,26.42%,bananas
1994-03-01,510,-23.88%,bananas
1994-04-01,500,-1.96%,bananas
1994-05-01,380,-24.00%,bananas
1994-06-01,250,-34.21%,bananas
1994-07-01,450,80.00%,bananas
1994-08-01,410,-8.89%,bananas
1994-09-01,440,7.32%,bananas
1994-10-01,320,-27.27%,bananas
1994-11-01,300,-6.25%,bananas
1994-12-01,540,80.00%,bananas
1995-01-01,360,-33.33%,bananas
1995-02-01,580,61.11%,bananas
1995-03-01,400,-31.03%,bananas
1995-04-01,390,-2.50%,bananas
1995-05-01,390,0.00%,bananas
1995-06-01,370,-5.13%,bananas
1995-07-01,540,45.95%,bananas
1995-08-01,520,-3.70%,bananas
1995-09-01,520,0.00%,bananas
1995-10-01,430,-17.31%,bananas
1995-11-01,440,2.33%,bananas
1995-12-01,410,-6.82%,bananas
1996-01-01,410,0.00%,bananas
1996-02-01,590,43.90%,bananas
1996-03-01,500,-15.25%,bananas
1996-04-01,610,22.00%,bananas
1996-05-01,540,-11.48%,bananas
1996-06-01,480,-11.11%,bananas
1996-07-01,430,-10.42%,bananas
1996-08-01,410,-4.65%,bananas
1996-09-01,400,-2.44%,bananas
1996-10-01,380,-5.00%,bananas
1996-11-01,430,13.16%,bananas
1996-12-01,480,11.63%,bananas
1997-01-01,670,39.58%,bananas
1997-02-01,790,17.91%,bananas
1997-03-01,760,-3.80%,bananas
1997-04-01,590,-22.37%,bananas
1997-05-01,390,-33.90%,bananas
1997-06-01,470,20.51%,bananas
1997-07-01,440,-6.38%,bananas
1997-08-01,420,-4.55%,bananas
1997-09-01,450,7.14%,bananas
1997-10-01,380,-15.56%,bananas
1997-11-01,430,13.16%,bananas
1997-12-01,420,-2.33%,bananas
1998-01-01,460,9.52%,bananas
1998-02-01,440,-4.35%,bananas
1998-03-01,450,2.27%,bananas
1998-04-01,770,71.11%,bananas
1998-05-01,660,-14.29%,bananas
1998-06-01,660,0.00%,bananas
1998-07-01,460,-30.30%,bananas
