Date,Price,Change,Name
1993-03-01,980,-,cocoa  beans
1993-04-01,1010,3.06%,cocoa  beans
1993-05-01,1000,-0.99%,cocoa  beans
1993-06-01,990,-1.00%,cocoa  beans
1993-07-01,1060,7.07%,cocoa  beans
1993-08-01,1100,3.77%,cocoa  beans
1993-09-01,1270,15.45%,cocoa  beans
1993-10-01,1290,1.57%,cocoa  beans
1993-11-01,1320,2.33%,cocoa  beans
1993-12-01,1360,3.03%,cocoa  beans
1994-01-01,1260,-7.35%,cocoa  beans
1994-02-01,1230,-2.38%,cocoa  beans
1994-03-01,1310,6.50%,cocoa  beans
1994-04-01,1240,-5.34%,cocoa  beans
1994-05-01,1380,11.29%,cocoa  beans
1994-06-01,1460,5.80%,cocoa  beans
1994-07-01,1550,6.16%,cocoa  beans
1994-08-01,1550,0.00%,cocoa  beans
1994-09-01,1490,-3.87%,cocoa  beans
1994-10-01,1450,-2.68%,cocoa  beans
1994-11-01,1440,-0.69%,cocoa  beans
1994-12-01,1400,-2.78%,cocoa  beans
1995-01-01,1470,5.00%,cocoa  beans
1995-02-01,1510,2.72%,cocoa  beans
1995-03-01,1490,-1.32%,cocoa  beans
1995-04-01,1460,-2.01%,cocoa  beans
1995-05-01,1450,-0.68%,cocoa  beans
1995-06-01,1440,-0.69%,cocoa  beans
1995-07-01,1360,-5.56%,cocoa  beans
1995-08-01,1410,3.68%,cocoa  beans
1995-09-01,1400,-0.71%,cocoa  beans
1995-10-01,1390,-0.71%,cocoa  beans
1995-11-01,1440,3.60%,cocoa  beans
1995-12-01,1380,-4.17%,cocoa  beans
1996-01-01,1350,-2.17%,cocoa  beans
1996-02-01,1370,1.48%,cocoa  beans
1996-03-01,1340,-2.19%,cocoa  beans
1996-04-01,1460,8.96%,cocoa  beans
1996-05-01,1520,4.11%,cocoa  beans
1996-06-01,1540,1.32%,cocoa  beans
1996-07-01,1500,-2.60%,cocoa  beans
1996-08-01,1500,0.00%,cocoa  beans
1996-09-01,1480,-1.33%,cocoa  beans
1996-10-01,1480,0.00%,cocoa  beans
1996-11-01,1470,-0.68%,cocoa  beans
1996-12-01,1470,0.00%,cocoa  beans
1997-01-01,1430,-2.72%,cocoa  beans
1997-02-01,1370,-4.20%,cocoa  beans
1997-03-01,1520,10.95%,cocoa  beans
1997-04-01,1570,3.29%,cocoa  beans
1997-05-01,1570,0.00%,cocoa  beans
1997-06-01,1690,7.64%,cocoa  beans
1997-07-01,1680,-0.59%,cocoa  beans
1997-08-01,1650,-1.79%,cocoa  beans
1997-09-01,1770,7.27%,cocoa  beans
1997-10-01,1740,-1.69%,cocoa  beans
1997-11-01,1700,-2.30%,cocoa  beans
1997-12-01,1740,2.35%,cocoa  beans
1998-01-01,1670,-4.02%,cocoa  beans
1998-02-01,1640,-1.80%,cocoa  beans
1998-03-01,1720,4.88%,cocoa  beans
1998-04-01,1720,0.00%,cocoa  beans
1998-05-01,1780,3.49%,cocoa  beans
1998-06-01,1720,-3.37%,cocoa  beans
1998-07-01,1720,0.00%,cocoa  beans
1998-08-01,1680,-2.33%,cocoa  beans
1998-09-01,1690,0.60%,cocoa  beans
1998-10-01,1650,-2.37%,cocoa  beans
1998-11-01,1600,-3.03%,cocoa  beans
1998-12-01,1520,-5.00%,cocoa  beans
1999-01-01,1460,-3.95%,cocoa  beans
1999-02-01,1410,-3.42%,cocoa  beans
1999-03-01,1310,-7.09%,cocoa  beans
1999-04-01,1180,-9.92%,cocoa  beans
1999-05-01,1070,-9.32%,cocoa  beans
1999-06-01,1160,8.41%,cocoa  beans
1999-07-01,1110,-4.31%,cocoa  beans
1999-08-01,1000,-9.91%,cocoa  beans
1999-09-01,1060,6.00%,cocoa  beans
1999-10-01,1020,-3.77%,cocoa  beans
1999-11-01,920,-9.80%,cocoa  beans
1999-12-01,920,0.00%,cocoa  beans
2000-01-01,920,0.00%,cocoa  beans
2000-02-01,860,-6.52%,cocoa  beans
2000-03-01,930,8.14%,cocoa  beans
2000-04-01,910,-2.15%,cocoa  beans
2000-05-01,920,1.10%,cocoa  beans
2000-06-01,950,3.26%,cocoa  beans
2000-07-01,970,2.11%,cocoa  beans
2000-08-01,890,-8.25%,cocoa  beans
2000-09-01,880,-1.12%,cocoa  beans
2000-10-01,880,0.00%,cocoa  beans
2000-11-01,880,0.00%,cocoa  beans
2000-12-01,890,1.14%,cocoa  beans
2001-01-01,1000,12.36%,cocoa  beans
2001-02-01,890,-11.00%,cocoa  beans
2001-03-01,1120,25.84%,cocoa  beans
2001-04-01,1080,-3.57%,cocoa  beans
2001-05-01,1080,0.00%,cocoa  beans
2001-06-01,970,-10.19%,cocoa  beans
2001-07-01,970,0.00%,cocoa  beans
2001-08-01,1030,6.19%,cocoa  beans
2001-09-01,1020,-0.97%,cocoa  beans
2001-10-01,1080,5.88%,cocoa  beans
2001-11-01,1230,13.89%,cocoa  beans
2001-12-01,1340,8.94%,cocoa  beans
2002-01-01,1390,3.73%,cocoa  beans
2002-02-01,1490,7.19%,cocoa  beans
2002-03-01,1590,6.71%,cocoa  beans
2002-04-01,1570,-1.26%,cocoa  beans
2002-05-01,1600,1.91%,cocoa  beans
2002-06-01,1660,3.75%,cocoa  beans
2002-07-01,1870,12.65%,cocoa  beans
2002-08-01,1960,4.81%,cocoa  beans
2002-09-01,2160,10.20%,cocoa  beans
2002-10-01,2200,1.85%,cocoa  beans
2002-11-01,1810,-17.73%,cocoa  beans
