Date,Price,Change,Name
1993-03-01,1360,-,cotton
1993-04-01,1350,-0.74%,cotton
1993-05-01,1330,-1.48%,cotton
1993-06-01,1300,-2.26%,cotton
1993-07-01,1270,-2.31%,cotton
1993-08-01,1220,-3.94%,cotton
1993-09-01,1220,0.00%,cotton
1993-10-01,1210,-0.82%,cotton
1993-11-01,1210,0.00%,cotton
1993-12-01,1310,8.26%,cotton
1994-01-01,1530,16.79%,cotton
1994-02-01,1780,16.34%,cotton
1994-03-01,1800,1.12%,cotton
1994-04-01,1850,2.78%,cotton
1994-05-01,1900,2.70%,cotton
1994-06-01,1890,-0.53%,cotton
1994-07-01,1800,-4.76%,cotton
1994-08-01,1690,-6.11%,cotton
1994-09-01,1660,-1.78%,cotton
1994-10-01,1630,-1.81%,cotton
1994-11-01,1710,4.91%,cotton
1994-12-01,1920,12.28%,cotton
1995-01-01,2110,9.90%,cotton
1995-02-01,2230,5.69%,cotton
1995-03-01,2440,9.42%,cotton
1995-04-01,2510,2.87%,cotton
1995-05-01,2530,0.80%,cotton
1995-06-01,2000,-20.95%,cotton
1995-07-01,1930,-3.50%,cotton
1995-08-01,1880,-2.59%,cotton
1995-09-01,2010,6.91%,cotton
1995-10-01,2010,0.00%,cotton
1995-11-01,1970,-1.99%,cotton
1995-12-01,1940,-1.52%,cotton
1996-01-01,1900,-2.06%,cotton
1996-02-01,1870,-1.58%,cotton
1996-03-01,1830,-2.14%,cotton
1996-04-01,1830,0.00%,cotton
1996-05-01,1830,0.00%,cotton
1996-06-01,1830,0.00%,cotton
1996-07-01,1760,-3.83%,cotton
1996-08-01,1680,-4.55%,cotton
1996-09-01,1660,-1.19%,cotton
1996-10-01,1660,0.00%,cotton
1996-11-01,1680,1.20%,cotton
1996-12-01,1750,4.17%,cotton
1997-01-01,1760,0.57%,cotton
1997-02-01,1770,0.57%,cotton
1997-03-01,1780,0.56%,cotton
1997-04-01,1740,-2.25%,cotton
1997-05-01,1750,0.57%,cotton
1997-06-01,1780,1.71%,cotton
1997-07-01,1790,0.56%,cotton
1997-08-01,1790,0.00%,cotton
1997-09-01,1760,-1.68%,cotton
1997-10-01,1710,-2.84%,cotton
1997-11-01,1700,-0.58%,cotton
1997-12-01,1640,-3.53%,cotton
1998-01-01,1590,-3.05%,cotton
1998-02-01,1520,-4.40%,cotton
1998-03-01,1510,-0.66%,cotton
1998-04-01,1450,-3.97%,cotton
1998-05-01,1420,-2.07%,cotton
1998-06-01,1520,7.04%,cotton
1998-07-01,1540,1.32%,cotton
1998-08-01,1500,-2.60%,cotton
1998-09-01,1460,-2.67%,cotton
1998-10-01,1360,-6.85%,cotton
1998-11-01,1240,-8.82%,cotton
1998-12-01,1230,-0.81%,cotton
1999-01-01,1230,0.00%,cotton
1999-02-01,1240,0.81%,cotton
1999-03-01,1250,0.81%,cotton
1999-04-01,1270,1.60%,cotton
1999-05-01,1320,3.94%,cotton
1999-06-01,1290,-2.27%,cotton
1999-07-01,1200,-6.98%,cotton
1999-08-01,1120,-6.67%,cotton
1999-09-01,1090,-2.68%,cotton
1999-10-01,1050,-3.67%,cotton
1999-11-01,1020,-2.86%,cotton
1999-12-01,970,-4.90%,cotton
2000-01-01,1050,8.25%,cotton
2000-02-01,1180,12.38%,cotton
2000-03-01,1260,6.78%,cotton
2000-04-01,1290,2.38%,cotton
2000-05-01,1330,3.10%,cotton
2000-06-01,1310,-1.50%,cotton
2000-07-01,1290,-1.53%,cotton
2000-08-01,1340,3.88%,cotton
2000-09-01,1360,1.49%,cotton
2000-10-01,1340,-1.47%,cotton
2000-11-01,1410,5.22%,cotton
2000-12-01,1450,2.84%,cotton
2001-01-01,1410,-2.76%,cotton
2001-02-01,1330,-5.67%,cotton
2001-03-01,1200,-9.77%,cotton
2001-04-01,1130,-5.83%,cotton
2001-05-01,1100,-2.65%,cotton
2001-06-01,1050,-4.55%,cotton
2001-07-01,1000,-4.76%,cotton
2001-08-01,960,-4.00%,cotton
2001-09-01,910,-5.21%,cotton
2001-10-01,820,-9.89%,cotton
2001-11-01,840,2.44%,cotton
2001-12-01,950,13.10%,cotton
2002-01-01,960,1.05%,cotton
2002-02-01,940,-2.08%,cotton
2002-03-01,930,-1.06%,cotton
2002-04-01,910,-2.15%,cotton
2002-05-01,880,-3.30%,cotton
2002-06-01,960,9.09%,cotton
2002-07-01,1030,7.29%,cotton
2002-08-01,1090,5.83%,cotton
2002-09-01,1080,-0.92%,cotton
2002-10-01,1090,0.93%,cotton
2002-11-01,1150,5.50%,cotton
2002-12-01,1220,6.09%,cotton
2003-01-01,1250,2.46%,cotton
2003-02-01,1290,3.20%,cotton
2003-03-01,1350,4.65%,cotton
2003-04-01,1340,-0.74%,cotton
2003-05-01,1280,-4.48%,cotton
2003-06-01,1290,0.78%,cotton
2003-07-01,1330,3.10%,cotton
2003-08-01,1330,0.00%,cotton
2003-09-01,1410,6.02%,cotton
2003-10-01,1600,13.48%,cotton
2003-11-01,1700,6.25%,cotton
2003-12-01,1620,-4.71%,cotton
2004-01-01,1670,3.09%,cotton
2004-02-01,1630,-2.40%,cotton
2004-03-01,1590,-2.45%,cotton
2004-04-01,1530,-3.77%,cotton
2004-05-01,1540,0.65%,cotton
2004-06-01,1420,-7.79%,cotton
2004-07-01,1260,-11.27%,cotton
2004-08-01,1190,-5.56%,cotton
2004-09-01,1240,4.20%,cotton
2004-10-01,1160,-6.45%,cotton
2004-11-01,1080,-6.90%,cotton
2004-12-01,1070,-0.93%,cotton
2005-01-01,1130,5.61%,cotton
