Date,Price,Change,Name
1993-03-01,360,-,oranges
1993-04-01,380,5.56%,oranges
1993-05-01,390,2.63%,oranges
1993-06-01,380,-2.56%,oranges
1993-07-01,400,5.26%,oranges
1993-08-01,440,10.00%,oranges
1993-09-01,600,36.36%,oranges
1993-10-01,620,3.33%,oranges
1993-11-01,440,-29.03%,oranges
1993-12-01,320,-27.27%,oranges
1994-01-01,300,-6.25%,oranges
1994-02-01,340,13.33%,oranges
1994-03-01,460,35.29%,oranges
1994-04-01,360,-21.74%,oranges
1994-05-01,420,16.67%,oranges
1994-06-01,440,4.76%,oranges
1994-07-01,540,22.73%,oranges
1994-08-01,540,0.00%,oranges
1994-09-01,540,0.00%,oranges
1994-10-01,430,-20.37%,oranges
1994-11-01,330,-23.26%,oranges
1994-12-01,230,-30.30%,oranges
1995-01-01,350,52.17%,oranges
1995-02-01,420,20.00%,oranges
1995-03-01,450,7.14%,oranges
1995-04-01,560,24.44%,oranges
1995-05-01,560,0.00%,oranges
1995-06-01,650,16.07%,oranges
1995-07-01,690,6.15%,oranges
1995-08-01,610,-11.59%,oranges
1995-09-01,540,-11.48%,oranges
1995-10-01,550,1.85%,oranges
1995-11-01,560,1.82%,oranges
1995-12-01,440,-21.43%,oranges
1996-01-01,420,-4.55%,oranges
1996-02-01,430,2.38%,oranges
1996-03-01,470,9.30%,oranges
1996-04-01,530,12.77%,oranges
1996-05-01,520,-1.89%,oranges
1996-06-01,560,7.69%,oranges
1996-07-01,530,-5.36%,oranges
1996-08-01,530,0.00%,oranges
1996-09-01,530,0.00%,oranges
1996-10-01,470,-11.32%,oranges
1996-11-01,470,0.00%,oranges
1996-12-01,430,-8.51%,oranges
1997-01-01,420,-2.33%,oranges
1997-02-01,410,-2.38%,oranges
1997-03-01,420,2.44%,oranges
1997-04-01,450,7.14%,oranges
1997-05-01,470,4.44%,oranges
1997-06-01,440,-6.38%,oranges
1997-07-01,520,18.18%,oranges
1997-08-01,570,9.62%,oranges
1997-09-01,550,-3.51%,oranges
1997-10-01,490,-10.91%,oranges
1997-11-01,410,-16.33%,oranges
1997-12-01,350,-14.63%,oranges
1998-01-01,360,2.86%,oranges
1998-02-01,390,8.33%,oranges
1998-03-01,410,5.13%,oranges
1998-04-01,440,7.32%,oranges
1998-05-01,450,2.27%,oranges
1998-06-01,460,2.22%,oranges
1998-07-01,540,17.39%,oranges
1998-08-01,510,-5.56%,oranges
1998-09-01,500,-1.96%,oranges
1998-10-01,430,-14.00%,oranges
1998-11-01,430,0.00%,oranges
1998-12-01,380,-11.63%,oranges
1999-01-01,420,10.53%,oranges
1999-02-01,400,-4.76%,oranges
1999-03-01,440,10.00%,oranges
1999-04-01,450,2.27%,oranges
1999-05-01,440,-2.22%,oranges
1999-06-01,480,9.09%,oranges
1999-07-01,460,-4.17%,oranges
1999-08-01,490,6.52%,oranges
1999-09-01,470,-4.08%,oranges
1999-10-01,520,10.64%,oranges
1999-11-01,340,-34.62%,oranges
1999-12-01,340,0.00%,oranges
2000-01-01,350,2.94%,oranges
2000-02-01,320,-8.57%,oranges
2000-03-01,300,-6.25%,oranges
2000-04-01,340,13.33%,oranges
2000-05-01,410,20.59%,oranges
2000-06-01,430,4.88%,oranges
2000-07-01,400,-6.98%,oranges
2000-08-01,390,-2.50%,oranges
2000-09-01,360,-7.69%,oranges
2000-10-01,380,5.56%,oranges
2000-11-01,360,-5.26%,oranges
2000-12-01,310,-13.89%,oranges
2001-01-01,350,12.90%,oranges
2001-02-01,410,17.14%,oranges
2001-03-01,550,34.15%,oranges
2001-04-01,630,14.55%,oranges
2001-05-01,730,15.87%,oranges
2001-06-01,830,13.70%,oranges
2001-07-01,960,15.66%,oranges
2001-08-01,780,-18.75%,oranges
2001-09-01,580,-25.64%,oranges
2001-10-01,420,-27.59%,oranges
2001-11-01,470,11.90%,oranges
2001-12-01,430,-8.51%,oranges
2002-01-01,440,2.33%,oranges
2002-02-01,450,2.27%,oranges
2002-03-01,590,31.11%,oranges
2002-04-01,580,-1.69%,oranges
2002-05-01,640,10.34%,oranges
2002-06-01,640,0.00%,oranges
2002-07-01,650,1.56%,oranges
2002-08-01,640,-1.54%,oranges
2002-09-01,630,-1.56%,oranges
2002-10-01,610,-3.17%,oranges
2002-11-01,480,-21.31%,oranges
2002-12-01,430,-10.42%,oranges
2003-01-01,550,27.91%,oranges
2003-02-01,510,-7.27%,oranges
2003-03-01,630,23.53%,oranges
2003-04-01,670,6.35%,oranges
2003-05-01,680,1.49%,oranges
2003-06-01,720,5.88%,oranges
2003-07-01,750,4.17%,oranges
2003-08-01,790,5.33%,oranges
2003-09-01,780,-1.27%,oranges
2003-10-01,840,7.69%,oranges
2003-11-01,660,-21.43%,oranges
2003-12-01,580,-12.12%,oranges
2004-01-01,720,24.14%,oranges
2004-02-01,830,15.28%,oranges
2004-03-01,930,12.05%,oranges
2004-04-01,860,-7.53%,oranges
2004-05-01,870,1.16%,oranges
2004-06-01,920,5.75%,oranges
2004-07-01,990,7.61%,oranges
