Date,Price,Change,Name
1993-03-01,860,-,peanuts
1993-04-01,870,1.16%,peanuts
1993-05-01,1051.25,20.83%,peanuts
1993-06-01,1026.25,-2.38%,peanuts
1993-07-01,1000,-2.56%,peanuts
1993-08-01,1061,6.10%,peanuts
1993-09-01,1501,41.47%,peanuts
1993-10-01,1423.75,-5.15%,peanuts
1993-11-01,1303.75,-8.43%,peanuts
1993-12-01,1310,0.48%,peanuts
1994-01-01,1196.25,-8.68%,peanuts
1994-02-01,1170,-2.19%,peanuts
1994-03-01,1180,0.85%,peanuts
1994-04-01,988,-16.27%,peanuts
1994-05-01,908,-8.10%,peanuts
1994-06-01,919,1.21%,peanuts
1994-07-01,920,0.11%,peanuts
1994-08-01,903,-1.85%,peanuts
1994-09-01,825,-8.64%,peanuts
1994-10-01,800,-3.03%,peanuts
1994-11-01,815,1.87%,peanuts
1994-12-01,833.33,2.25%,peanuts
1995-01-01,878,5.36%,peanuts
1995-02-01,885,0.80%,peanuts
1995-03-01,855,-3.39%,peanuts
1995-04-01,823,-3.74%,peanuts
1995-05-01,822,-0.12%,peanuts
1995-06-01,841,2.31%,peanuts
1995-07-01,876,4.16%,peanuts
1995-08-01,885,1.03%,peanuts
1995-09-01,970,9.60%,peanuts
1995-10-01,1055,8.76%,peanuts
1995-11-01,1016,-3.70%,peanuts
1995-12-01,1013,-0.30%,peanuts
1996-01-01,986,-2.67%,peanuts
1996-02-01,980,-0.61%,peanuts
1996-03-01,988,0.82%,peanuts
1996-04-01,1015,2.73%,peanuts
1996-05-01,1015,0.00%,peanuts
1996-06-01,950,-6.40%,peanuts
1996-07-01,993,4.53%,peanuts
1996-08-01,970,-2.32%,peanuts
1996-09-01,929,-4.23%,peanuts
1996-10-01,917,-1.29%,peanuts
1996-11-01,904,-1.42%,peanuts
1996-12-01,897,-0.77%,peanuts
1997-01-01,893,-0.45%,peanuts
1997-02-01,870,-2.58%,peanuts
1997-03-01,908,4.37%,peanuts
1997-04-01,920,1.32%,peanuts
1997-05-01,953,3.59%,peanuts
1997-06-01,969,1.68%,peanuts
1997-07-01,987,1.86%,peanuts
1997-08-01,924,-6.38%,peanuts
1997-09-01,964,4.33%,peanuts
1997-10-01,1054.04,9.34%,peanuts
1997-11-01,1199,13.75%,peanuts
1997-12-01,1220,1.75%,peanuts
1998-01-01,1146,-6.07%,peanuts
1998-02-01,1079,-5.85%,peanuts
1998-03-01,992.5,-8.02%,peanuts
1998-04-01,940,-5.29%,peanuts
1998-05-01,930,-1.06%,peanuts
1998-06-01,989,6.34%,peanuts
1998-07-01,1034,4.55%,peanuts
1998-08-01,1087.5,5.17%,peanuts
1998-09-01,965,-11.26%,peanuts
1998-10-01,955,-1.04%,peanuts
1998-11-01,890,-6.81%,peanuts
1998-12-01,857,-3.71%,peanuts
1999-01-01,880,2.68%,peanuts
1999-02-01,857.5,-2.56%,peanuts
1999-03-01,837.83,-2.29%,peanuts
1999-04-01,854.5,1.99%,peanuts
1999-05-01,858.42,0.46%,peanuts
1999-06-01,868.18,1.14%,peanuts
1999-07-01,875.91,0.89%,peanuts
1999-08-01,820,-6.38%,peanuts
1999-09-01,826.82,0.83%,peanuts
1999-10-01,854.76,3.38%,peanuts
1999-11-01,916.36,7.21%,peanuts
1999-12-01,913.33,-0.33%,peanuts
2000-01-01,875,-4.20%,peanuts
2000-02-01,880,0.57%,peanuts
2000-03-01,880,0.00%,peanuts
2000-04-01,866.67,-1.51%,peanuts
2000-05-01,853.33,-1.54%,peanuts
2000-06-01,837.27,-1.88%,peanuts
2000-07-01,860,2.71%,peanuts
2000-08-01,864.55,0.53%,peanuts
2000-09-01,880,1.79%,peanuts
2000-10-01,871.82,-0.93%,peanuts
2000-11-01,899.52,3.18%,peanuts
2000-12-01,880,-2.17%,peanuts
2001-01-01,907.27,3.10%,peanuts
2001-02-01,983.33,8.38%,peanuts
2001-03-01,954.76,-2.91%,peanuts
2001-04-01,950,-0.50%,peanuts
2001-05-01,949,-0.11%,peanuts
2001-06-01,930,-2.00%,peanuts
2001-07-01,930,0.00%,peanuts
2001-08-01,847.5,-8.87%,peanuts
2001-09-01,807,-4.78%,peanuts
2001-10-01,713.91,-11.54%,peanuts
2001-11-01,714.29,0.05%,peanuts
2001-12-01,710,-0.60%,peanuts
2002-01-01,685.91,-3.39%,peanuts
2002-02-01,651,-5.09%,peanuts
2002-03-01,640,-1.69%,peanuts
2002-04-01,631,-1.41%,peanuts
2002-05-01,618.18,-2.03%,peanuts
2002-06-01,700.56,13.33%,peanuts
2002-07-01,728.7,4.02%,peanuts
2002-08-01,730.95,0.31%,peanuts
2002-09-01,742.86,1.63%,peanuts
2002-10-01,778.46,4.79%,peanuts
2002-11-01,826.67,6.19%,peanuts
2002-12-01,945.88,14.42%,peanuts
2003-01-01,960,1.49%,peanuts
2003-02-01,977,1.77%,peanuts
2003-03-01,1022.38,4.64%,peanuts
2003-04-01,1050,2.70%,peanuts
2003-05-01,1050,0.00%,peanuts
2003-06-01,1037.62,-1.18%,peanuts
2003-07-01,1023.18,-1.39%,peanuts
2003-08-01,1020,-0.31%,peanuts
2003-09-01,1014.55,-0.53%,peanuts
2003-10-01,920,-9.32%,peanuts
2003-11-01,931.5,1.25%,peanuts
2003-12-01,960,3.06%,peanuts
2004-01-01,992.38,3.37%,peanuts
2004-02-01,1000,0.77%,peanuts
2004-03-01,980.43,-1.96%,peanuts
2004-04-01,970,-1.06%,peanuts
2004-05-01,982,1.24%,peanuts
2004-06-01,1017.27,3.59%,peanuts
2004-07-01,1039.09,2.14%,peanuts
2004-08-01,1001.36,-3.63%,peanuts
2004-09-01,1000,-0.14%,peanuts
2004-10-01,960,-4.00%,peanuts
2004-11-01,956.36,-0.38%,peanuts
2004-12-01,958.82,0.26%,peanuts
2005-01-01,945.5,-1.39%,peanuts
2005-02-01,912,-3.54%,peanuts
2005-03-01,907.39,-0.51%,peanuts
2005-04-01,900,-0.81%,peanuts
2005-05-01,888.57,-1.27%,peanuts
2005-06-01,870,-2.09%,peanuts
2005-07-01,848.57,-2.46%,peanuts
2005-08-01,816.36,-3.80%,peanuts
2005-09-01,806.36,-1.22%,peanuts
2005-10-01,862.38,6.95%,peanuts
2005-11-01,850,-1.44%,peanuts
2005-12-01,883.53,3.94%,peanuts
2006-01-01,853.33,-3.42%,peanuts
2006-02-01,848,-0.62%,peanuts
2006-03-01,808.26,-4.69%,peanuts
2006-04-01,753,-6.84%,peanuts
2006-05-01,780,3.59%,peanuts
2006-06-01,795.91,2.04%,peanuts
2006-07-01,851.43,6.98%,peanuts
2006-08-01,880,3.36%,peanuts
2006-09-01,913.48,3.80%,peanuts
2006-10-01,937.39,2.62%,peanuts
2006-11-01,1044.52,11.43%,peanuts
2006-12-01,1037.83,-0.64%,peanuts
2007-01-01,1050,1.17%,peanuts
2007-02-01,1050,0.00%,peanuts
2007-03-01,1050,0.00%,peanuts
2007-04-01,1050,0.00%,peanuts
2007-05-01,1080.56,2.91%,peanuts
2007-06-01,1107.18,2.46%,peanuts
