Date,Price,Change,Name
1993-03-01,230.2,-,rice
1993-04-01,206.25,-10.40%,rice
1993-05-01,184.75,-10.42%,rice
1993-06-01,189,2.30%,rice
1993-07-01,200.75,6.22%,rice
1993-08-01,209,4.11%,rice
1993-09-01,206,-1.44%,rice
1993-10-01,256.75,24.64%,rice
1993-11-01,307.75,19.86%,rice
1993-12-01,320.5,4.14%,rice
1994-01-01,356,11.08%,rice
1994-02-01,343.75,-3.44%,rice
1994-03-01,269.75,-21.53%,rice
1994-04-01,269.25,-0.19%,rice
1994-05-01,233,-13.46%,rice
1994-06-01,213.75,-8.26%,rice
1994-07-01,226.25,5.85%,rice
1994-08-01,252.6,11.65%,rice
1994-09-01,259.75,2.83%,rice
1994-10-01,262,0.87%,rice
1994-11-01,264.5,0.95%,rice
1994-12-01,260.5,-1.51%,rice
1995-01-01,276.8,6.26%,rice
1995-02-01,280.5,1.34%,rice
1995-03-01,286.25,2.05%,rice
1995-04-01,281.5,-1.66%,rice
1995-05-01,291,3.37%,rice
1995-06-01,326,12.03%,rice
1995-07-01,345.6,6.01%,rice
1995-08-01,339.5,-1.77%,rice
1995-09-01,359.75,5.96%,rice
1995-10-01,382.6,6.35%,rice
1995-11-01,340.5,-11.00%,rice
1995-12-01,341.5,0.29%,rice
1996-01-01,369.2,8.11%,rice
1996-02-01,368,-0.33%,rice
1996-03-01,359.5,-2.31%,rice
1996-04-01,327.2,-8.98%,rice
1996-05-01,332.25,1.54%,rice
1996-06-01,341.5,2.78%,rice
1996-07-01,358,4.83%,rice
1996-08-01,335.5,-6.28%,rice
1996-09-01,328.4,-2.12%,rice
1996-10-01,312.75,-4.77%,rice
1996-11-01,315,0.72%,rice
1996-12-01,319.2,1.33%,rice
1997-01-01,356,11.53%,rice
1997-02-01,347,-2.53%,rice
1997-03-01,323.4,-6.80%,rice
1997-04-01,304.5,-5.84%,rice
1997-05-01,324.5,6.57%,rice
1997-06-01,323.2,-0.40%,rice
1997-07-01,320,-0.99%,rice
1997-08-01,285,-10.94%,rice
1997-09-01,270.6,-5.05%,rice
1997-10-01,265.75,-1.79%,rice
1997-11-01,252.5,-4.99%,rice
1997-12-01,269.67,6.80%,rice
1998-01-01,288,6.80%,rice
1998-02-01,297.25,3.21%,rice
1998-03-01,296,-0.42%,rice
1998-04-01,311.5,5.24%,rice
1998-05-01,318.25,2.17%,rice
1998-06-01,325.5,2.28%,rice
1998-07-01,324.25,-0.38%,rice
1998-08-01,321.4,-0.88%,rice
1998-09-01,321.25,-0.05%,rice
1998-10-01,298.75,-7.00%,rice
1998-11-01,270,-9.62%,rice
1998-12-01,277.75,2.87%,rice
1999-01-01,299.75,7.92%,rice
1999-02-01,280,-6.59%,rice
1999-03-01,256.2,-8.50%,rice
1999-04-01,235.5,-8.08%,rice
1999-05-01,244.25,3.72%,rice
1999-06-01,253.8,3.91%,rice
1999-07-01,259,2.05%,rice
1999-08-01,244.5,-5.60%,rice
1999-09-01,229.25,-6.24%,rice
1999-10-01,217,-5.34%,rice
1999-11-01,228,5.07%,rice
1999-12-01,233.75,2.52%,rice
2000-01-01,241.4,3.27%,rice
2000-02-01,241,-0.17%,rice
2000-03-01,225.75,-6.33%,rice
2000-04-01,214.75,-4.87%,rice
2000-05-01,198.6,-7.52%,rice
2000-06-01,196,-1.31%,rice
2000-07-01,189,-3.57%,rice
2000-08-01,186.5,-1.32%,rice
2000-09-01,179,-4.02%,rice
2000-10-01,187.5,4.75%,rice
2000-11-01,185,-1.33%,rice
2000-12-01,184.25,-0.41%,rice
2001-01-01,184.4,0.08%,rice
2001-02-01,184.5,0.05%,rice
2001-03-01,175,-5.15%,rice
2001-04-01,163.75,-6.43%,rice
2001-05-01,164.33,0.35%,rice
2001-06-01,168,2.23%,rice
2001-07-01,169.4,0.83%,rice
2001-08-01,168.25,-0.68%,rice
2001-09-01,173,2.82%,rice
2001-10-01,170.6,-1.39%,rice
2001-11-01,173.5,1.70%,rice
2001-12-01,179.33,3.36%,rice
2002-01-01,191.75,6.93%,rice
2002-02-01,195.33,1.87%,rice
2002-03-01,189,-3.24%,rice
2002-04-01,190.2,0.63%,rice
2002-05-01,197.5,3.84%,rice
2002-06-01,202.67,2.62%,rice
2002-07-01,199.6,-1.51%,rice
2002-08-01,190.33,-4.64%,rice
2002-09-01,186.6,-1.96%,rice
2002-10-01,186.25,-0.19%,rice
2002-11-01,186.75,0.27%,rice
2002-12-01,186.5,-0.13%,rice
2003-01-01,200.75,7.64%,rice
2003-02-01,198.75,-1.00%,rice
2003-03-01,197,-0.88%,rice
2003-04-01,195,-1.02%,rice
2003-05-01,198,1.54%,rice
2003-06-01,203.4,2.73%,rice
2003-07-01,198.5,-2.41%,rice
2003-08-01,195,-1.76%,rice
2003-09-01,197.6,1.33%,rice
2003-10-01,195.75,-0.94%,rice
