Date,Price,Change,Name
1993-03-01,1580,-,tea
1993-04-01,1460,-7.59%,tea
1993-05-01,1420,-2.74%,tea
1993-06-01,1480,4.23%,tea
1993-07-01,1590,7.43%,tea
1993-08-01,1510,-5.03%,tea
1993-09-01,1450,-3.97%,tea
1993-10-01,1540,6.21%,tea
1993-11-01,1460,-5.19%,tea
1993-12-01,1510,3.42%,tea
1994-01-01,1500,-0.66%,tea
1994-02-01,1610,7.33%,tea
1994-03-01,1660,3.11%,tea
1994-04-01,1580,-4.82%,tea
1994-05-01,1540,-2.53%,tea
1994-06-01,1570,1.95%,tea
1994-07-01,1710,8.92%,tea
1994-08-01,1660,-2.92%,tea
1994-09-01,1570,-5.42%,tea
1994-10-01,1600,1.91%,tea
1994-11-01,1460,-8.75%,tea
1994-12-01,1390,-4.79%,tea
1995-01-01,1380,-0.72%,tea
1995-02-01,1360,-1.45%,tea
1995-03-01,1340,-1.47%,tea
1995-04-01,1350,0.75%,tea
1995-05-01,1300,-3.70%,tea
1995-06-01,1290,-0.77%,tea
1995-07-01,1280,-0.78%,tea
1995-08-01,1240,-3.13%,tea
1995-09-01,1310,5.65%,tea
1995-10-01,1270,-3.05%,tea
1995-11-01,1240,-2.36%,tea
1995-12-01,1270,2.42%,tea
1996-01-01,1370,7.87%,tea
1996-02-01,1340,-2.19%,tea
1996-03-01,1370,2.24%,tea
1996-04-01,1420,3.65%,tea
1996-05-01,1430,0.70%,tea
1996-06-01,1400,-2.10%,tea
1996-07-01,1370,-2.14%,tea
1996-08-01,1440,5.11%,tea
1996-09-01,1450,0.69%,tea
1996-10-01,1490,2.76%,tea
1996-11-01,1500,0.67%,tea
1996-12-01,1510,0.67%,tea
1997-01-01,1570,3.97%,tea
1997-02-01,1610,2.55%,tea
1997-03-01,1790,11.18%,tea
1997-04-01,1980,10.61%,tea
1997-05-01,1990,0.51%,tea
1997-06-01,1930,-3.02%,tea
1997-07-01,2010,4.15%,tea
1997-08-01,2210,9.95%,tea
1997-09-01,2080,-5.88%,tea
1997-10-01,2230,7.21%,tea
1997-11-01,2380,6.73%,tea
1997-12-01,2400,0.84%,tea
1998-01-01,2550,6.25%,tea
1998-02-01,2810,10.20%,tea
1998-03-01,2290,-18.51%,tea
1998-04-01,1950,-14.85%,tea
1998-05-01,1560,-20.00%,tea
1998-06-01,1560,0.00%,tea
1998-07-01,1680,7.69%,tea
1998-08-01,1700,1.19%,tea
1998-09-01,1750,2.94%,tea
1998-10-01,1740,-0.57%,tea
1998-11-01,1590,-8.62%,tea
1998-12-01,1610,1.26%,tea
1999-01-01,1750,8.70%,tea
1999-02-01,1770,1.14%,tea
1999-03-01,1890,6.78%,tea
1999-04-01,1870,-1.06%,tea
1999-05-01,1710,-8.56%,tea
1999-06-01,1680,-1.75%,tea
1999-07-01,1670,-0.60%,tea
1999-08-01,1660,-0.60%,tea
1999-09-01,1980,19.28%,tea
1999-10-01,2000,1.01%,tea
1999-11-01,1810,-9.50%,tea
